FileName;Group;Genotype;Temperature;ShortName
GSM2696488_WT_RT_1.CEL;WT.RT;WT;RT;WT.RT.1
GSM2696489_WT_RT_2.CEL;WT.RT;WT;RT;WT.RT.2
GSM2696490_WT_RT_3.CEL;WT.RT;WT;RT;WT.RT.3
GSM2696491_KO_RT_1.CEL;KO.RT;KO;RT;KO.RT.1
GSM2696492_KO_RT_2.CEL;KO.RT;KO;RT;KO.RT.2
GSM2696493_KO_RT_3.CEL;KO.RT;KO;RT;KO.RT.3
GSM2696494_WT_Cold_1.CEL;WT.COLD;WT;COLD;WT.COLD.1
GSM2696495_WT_Cold_2.CEL;WT.COLD;WT;COLD;WT.COLD.2
GSM2696496_WT_Cold_3.CEL;WT.COLD;WT;COLD;WT.COLD.3
GSM2696497_KO_Cold_1.CEL;KO.COLD;KO;COLD;KO.COLD.1
GSM2696498_KO_Cold_2.CEL;KO.COLD;KO;COLD;KO.COLD.2
GSM2696499_KO_Cold_3.CEL;KO.COLD;KO;COLD;KO.COLD.3
