"","WT.RT.1","WT.RT.2","WT.RT.3","KO.RT.1","KO.RT.2","KO.RT.3","WT.COLD.1","WT.COLD.2","WT.COLD.3","KO.COLD.1","KO.COLD.2","KO.COLD.3"
"Wfdc17",4.96515512259075,5.66597519513612,5.3653681550551,6.55343931435839,7.17685684913044,6.05955273939828,6.22298087354301,6.56975256253897,6.53381406384689,7.46336574576757,6.891934198654,7.22425137947701
"Gm11335",5.32594872055582,5.01281209289547,5.33540655423842,3.93690910040473,4.58214309304433,3.47179385208568,4.85833436050256,4.69779408327017,4.02164520737354,3.82875015791193,4.04752410756473,4.2574346500273
"Gm11696",4.92640430913167,5.09786955483169,4.84701782352445,3.94319074574697,4.41379907924824,4.5416753675201,6.52878123376258,6.243202839413,6.43929835416639,5.31859359468688,5.3230263449287,5.37198895401947
"Mup12",4.86654739966648,5.39536946229839,4.94870762565207,7.65163625459491,7.8813003610474,5.92403797019481,5.27174837274329,5.75782126408062,5.45338946806368,7.55470270509877,6.37798444610157,7.36137681989733
"Tcf24",5.5252387478424,5.16810659767445,5.16216429579197,5.76775710853035,5.12743201151497,5.43621298045376,4.21330657397353,4.02170377608713,4.30090357171029,4.59177061660565,5.51013813184935,5.50178251010769
"Ahnak2",4.1476511421873,3.61898423817226,3.48283725152557,4.63378642411237,5.1231447697167,4.57813964623544,3.21008744326317,3.23431374750262,3.32877956841804,4.0958987255548,3.83018478255392,3.27739926747395
"4930522L14Rik",2.61910454383251,3.17588547349305,2.45820388997292,4.15122160850416,4.08315018165544,3.07538590464572,2.08172277485032,2.36086310177505,2.52780151979611,2.55591087194037,2.46078554565249,2.14765758055277
"C920021L13Rik",3.81815460860258,4.47464815602767,4.3067480550942,5.36154000466072,5.45267070369604,5.03931912494159,2.9803619680667,3.64505619736947,3.47102403913508,4.68715743270945,4.36654636047986,4.31995944724803
"Mir453",2.0003189072477,2.18743260224476,2.0593506444507,4.87497098762596,3.94458889080601,3.64852220683329,3.65783207238092,4.27990960731676,4.65052747994574,2.82062838262785,5.08574356329349,4.66429250128887
"Scarna9",4.17683589936772,4.10978096078929,4.16662487064209,5.41921526292119,5.43184836478076,5.14740654728454,4.67235548401591,4.09004619834636,5.112162358039,4.98669860067276,4.5059597136288,4.60843444447852
"Snord99",7.15206360338937,6.57168700657136,7.46292045255364,7.92822239507849,8.01788930320513,8.32509198442147,7.34734514299401,7.00451513997696,6.77303618803658,6.91042495750739,7.13086994362359,7.17039514608356
"Snord16a",5.66815300874558,5.17438181964073,5.10303183226127,3.97489436570077,4.19761927999034,4.69750091774552,7.27064274016998,6.72822293057541,7.3449640877413,7.19529520067254,7.47845182320151,7.65148850209381
"Snord89",7.8399503663279,6.71621856062159,7.59516026750891,8.52795214690676,8.35693460656543,8.49532158692761,8.21103733818849,7.86829316989005,7.65844015507541,7.42175492667876,7.88276837446774,7.68298322117586
"Mir467h",4.5253372107073,3.77941772290195,2.80343362524615,2.79940870274113,1.82337828839927,2.21643826429541,2.0753633113827,2.22405255786967,1.9262456346517,2.47395393897311,2.21524904801207,2.04935326765593
"Mir1933",2.65373602146457,3.39818800788796,3.244508960559,2.85728962347281,2.27501528580138,2.1238930311024,2.76373222830189,3.47531680143449,2.94160132052091,4.5633229584534,4.05622342289824,4.75021635299771
"Mir466f-4",3.24634935041048,3.20803959621426,1.96995598233723,2.79218731582438,2.23692279632354,2.85514784401618,3.03991207153693,2.40411632703844,2.40065508632979,4.09307128991139,3.75782395700599,3.59943741109608
"Gm12002",6.17949857068734,6.57832358615505,6.56345202050872,6.15065395634598,6.2853552548826,6.59376281666282,5.09413086210502,4.21512803722388,5.07464085018945,3.79274064497191,3.75668866137595,3.27926694410314
"C230037L18Rik",4.66141370844915,5.22512708166784,5.09108789510951,5.59887148090536,5.82675292656595,5.62512588013269,5.45681190292407,5.24287533110921,5.2983946202675,5.9994362385345,6.13460484909388,6.93551730608138
"Gm21190",5.29184152199506,6.2841015978855,5.23233628479895,4.19416617106786,3.50016359268464,4.14561152070813,3.50501503355576,3.61652079496416,3.26733271353146,3.62840784096005,3.09273333862893,3.42672834766609
"Adamts9",8.25591634728321,8.0394746171829,8.25308540402678,7.66220985599107,7.34065447005593,7.61742024013053,8.72492028939124,8.79754981484887,8.8859689290397,9.33574120141744,9.0653833017127,9.72364041079422
