"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",-0.420291808145414,7.89733033545432,-2.11459999002388,0.0575078370989741,0.255524073811157,-4.49618381555938
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.0485219238034151,8.66351715583246,0.291767566789549,0.775761442046271,0.897666811510685,-6.44664571999428
"3","17211000","Rrs1","59014","ribosome biogenesis regulator 1",-0.142504340479937,5.52935197275634,-0.428929058891789,0.67605365638199,0.846337848027078,-6.39468277409462
"4","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.114047089843027,8.78830145129257,0.703875534492725,0.495786984817288,0.73404974020959,-6.23390710562997
"5","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",-1.45401576042542,5.09580817057072,-4.36935423132559,0.0010552959537856,0.0385697801645784,-0.64035771754044
"6","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",0.0717927573645492,6.23830917614575,0.38749571711198,0.705602713691469,0.864277509909819,-6.41241278754756
"7","17211286","Ly96","17087","lymphocyte antigen 96",-0.652572650337733,8.43903441373473,-1.63346622506251,0.129953321238459,0.383903502958759,-5.22074919591751
"8","17211396","Tmem14a","75712","transmembrane protein 14A",-0.384409905135746,3.49858401007632,-1.34052524046215,0.206453799903099,0.487582378494552,-5.60611348991743
"9","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-0.377543294013223,4.86711900598082,-1.01728266572049,0.330346703492988,0.605277201237074,-5.96549261068265
"10","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",-0.11304829322447,8.60090331368295,-0.845716999024718,0.415294108246264,0.676003378031148,-6.12304692978383
"11","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",0.108939625521643,4.54839030979131,0.519873333094787,0.61320360657438,0.808966779564723,-6.34969746625471
"12","17211774","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",-0.38159224296422,7.28708916065477,-2.22029010344206,0.0477702567344766,0.234125035867909,-4.32571355103339
"13","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.743175683332532,7.71911374788877,3.59311246752948,0.00406056940530428,0.071055123983802,-1.96387259210706
"14","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",1.05335745526349,4.73780688747631,2.19068743101544,0.0503269053548591,0.239649673537018,-4.37378683371407
"15","17211822","Cnnm4","94220","cyclin M4",0.0246865118241519,4.97763894160967,0.108075355829396,0.915834797434491,0.967871809905905,-6.48555503644964
"16","17211832","Cnnm3","94218","cyclin M3",-0.140782758631739,5.67686230727688,-0.927393486711015,0.373144323866419,0.641634203997676,-6.05113348182891
"17","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",-0.822288969226225,4.91606663458306,-3.40048788995491,0.00572525150765789,0.0832940716915082,-2.29953924933177
"18","17211857","4933424G06Rik","71166","RIKEN cDNA 4933424G06 gene",0.0202508491837199,2.09012022973523,0.0609121147833044,0.952495291233446,0.979793508778664,-6.48979272607959
"19","17211867","Zap70","22637","zeta-chain (TCR) associated protein kinase",-0.22041033416887,2.75015709477082,-0.943472828362866,0.365212620482653,0.636176822776234,-6.03630587909816
"20","17211990","Lipt1","623661","lipoyltransferase 1",0.0025850177936082,5.84482574712625,0.0133039346056597,0.989617751924416,0.996034976707469,-6.49167237518289
"21","17212018","Eif5b","226982","eukaryotic translation initiation factor 5B",-0.070650914738394,6.16688809896978,-0.473763698998305,0.644707708154877,0.830334766368787,-6.37354023864414
"22","17212087","Npas2","18143","neuronal PAS domain protein 2",-0.252867299912133,4.33277556010315,-1.16311558895614,0.26880254891209,0.555587061441057,-5.81285723465974
"23","17212174","Il1r2","16178","interleukin 1 receptor, type II",0.618873089174684,3.56702957848417,1.79923848849847,0.0987677478663842,0.334660192600965,-4.98217113060407
"24","17212185","Il1r1","16177","interleukin 1 receptor, type I",0.26207519736666,6.86150618329913,0.752632631032078,0.46709047264448,0.713491410048678,-6.19785870140805
"25","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",0.0600541188944801,5.21823996002505,0.260586995392633,0.799107928430328,0.912625567333976,-6.45574638181465
"26","17212286","Slc9a2","226999","solute carrier family 9 (sodium/hydrogen exchanger), member 2",0.610870577321936,1.9476399382376,2.03382442844771,0.066183462868135,0.273304452399142,-4.62413467382429
"27","17212346","AI597479","98404","expressed sequence AI597479",-0.805292820865049,5.5604986102752,-3.95809691223934,0.00213703592664303,0.0529313774557782,-1.33430420950092
"28","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",0.212248136488224,5.52673842991199,0.960429198468501,0.356978812316798,0.628039624604311,-6.02043512676812
"29","17212442","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",0.837675999330945,7.00548027375822,3.97963905712042,0.00205847293094695,0.0519878519241825,-1.29750079240167
"30","17212792","Hibch","227095","3-hydroxyisobutyryl-Coenzyme A hydrolase",-0.0735712686402898,8.83186523049355,-0.339095492263769,0.74076802913128,0.882531874828432,-6.43090212840836
"31","17212813","Mstn","17700","myostatin",0.797583739527401,2.15879104818128,0.87220088173373,0.40128682979605,0.667771587395203,-6.10035921243199
"32","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",-0.418298464436316,5.85487693441151,-2.52454582314419,0.0277824381400793,0.179120047519327,-3.81940443666537
"33","17212874","Coq10b","67876","coenzyme Q10B",-0.213706570821071,8.91581651838082,-1.13841683437656,0.278552550505355,0.5625825399354,-5.83985306089724
"34","17212882","Hspe1","15528","heat shock protein 1 (chaperonin 10)",-0.32385633947337,7.61255275646048,-2.09162007287314,0.0598603980176397,0.260758158225096,-4.53280159097324
"35","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",-0.194917084310303,5.59491113774422,-0.877145941650438,0.398707498018807,0.665513488733774,-6.0960554052222
"36","17212982","Aox1","11761","aldehyde oxidase 1",-0.483302023899326,7.21162390743395,-2.2407653680643,0.0460748785422223,0.230720820369324,-4.29232223669039
"37","17213139","Bzw1","66882","basic leucine zipper and W2 domains 1",-0.137858385862746,9.84457965499911,-0.832915578235449,0.422181320764551,0.68038808152958,-6.13379329077249
"38","17213213","Casp8","12370","caspase 8",0.637718055448421,8.58499180193764,3.97802642846302,0.00206424904203461,0.0519878519241825,-1.3002542971076
"39","17213226","Stradb","227154","STE20-related kinase adaptor beta",0.106311508759351,6.72797226275894,0.60971763800134,0.554134833877768,0.771003759114053,-6.29722627618197
"40","17213295","Nop58","55989","NOP58 ribonucleoprotein",0.0292216744089435,6.44608822150627,0.0879305789883742,0.931473842918106,0.971965297917398,-6.48765409015156
"41","17213349","Carf","241066","calcium response factor",0.056719070111825,5.37066272370369,0.32849575228843,0.74855570835748,0.885502845055208,-6.43462958339822
"42","17213446","Abi2","329165","abl-interactor 2",-0.178601131249276,6.28003503142811,-1.1318444217902,0.281192657911101,0.564696149842095,-5.84695985665492
"43","17213473","2310016D23Rik","76443","RIKEN cDNA 2310016D23 gene",0.323526221512118,1.8642465775311,0.890350264215766,0.391875916329,0.660849224920985,-6.08445989703578
