"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210887","Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H",0.0427292621367288,7.89733033545432,0.214982294531882,0.83361943089698,0.951889670093038,-6.50278829521198
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.114299128458036,8.66351715583246,0.687293000406965,0.505786513023653,0.81458973932125,-6.28086811293335
"3","17211000","Rrs1","59014","ribosome biogenesis regulator 1",-0.180230316737428,5.52935197275634,-0.542481863230249,0.598043188203527,0.856950891548436,-6.37258965589024
"4","17211131","Prex2","109294","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.0212159606268543,8.78830145129257,0.130940610992861,0.898128938242646,0.970430181900952,-6.51823697717266
"5","17211174","A830018L16Rik","320492","RIKEN cDNA A830018L16 gene",-1.40624459199353,5.09580817057072,-4.22580065879611,0.0013468642201681,0.0507817645752821,-0.901450235891843
"6","17211258","Rdh10","98711","retinol dehydrogenase 10 (all-trans)",-0.125835533545739,6.23830917614575,-0.679187317766296,0.51071803223719,0.816867312565432,-6.286531312482
"7","17211286","Ly96","17087","lymphocyte antigen 96",-0.434692993124213,8.43903441373473,-1.08808777409266,0.299263057026351,0.659127026629936,-5.9280432147051
"8","17211396","Tmem14a","75712","transmembrane protein 14A",0.0132420114380647,3.49858401007632,0.0461779218746868,0.963976024959331,0.987198409978854,-6.52623073547556
"9","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",0.0488842640146743,4.86711900598082,0.131717647213436,0.897528190274948,0.970204503608302,-6.51812838069434
"10","17211700","Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein",-0.129599948107437,8.60090331368295,-0.969540327066666,0.352609850148472,0.704670240076698,-6.0466185948994
"11","17211713","Ptpn18","19253","protein tyrosine phosphatase, non-receptor type 18",0.38346026797216,4.54839030979131,1.82991970704455,0.093798649830434,0.408590547407674,-4.96941201190552
"12","17211774","Plekhb2","226971","pleckstrin homology domain containing, family B (evectins) member 2",0.0769483792633974,7.28708916065477,0.447723265093854,0.662831364669962,0.89001146949636,-6.421498164021
"13","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",0.587266738992474,7.71911374788877,2.83932250336436,0.0157474265498658,0.17993163229921,-3.30791981191764
"14","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",0.43003398490827,4.73780688747631,0.894349815383784,0.389822670437243,0.736498183420381,-6.11584566628263
"15","17211822","Cnnm4","94220","cyclin M4",-0.133966952573488,4.97763894160967,-0.586495417898391,0.569096101621365,0.847704282584111,-6.34685272104837
"16","17211832","Cnnm3","94218","cyclin M3",0.221018656849299,5.67686230727688,1.45594009377116,0.172677182317159,0.52969653572623,-5.49417717735298
"17","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",-0.356447537373925,4.91606663458306,-1.47405058271044,0.167826464914971,0.523664961296377,-5.47051435397914
"18","17211857","4933424G06Rik","71166","RIKEN cDNA 4933424G06 gene",0.396908264460198,2.09012022973523,1.19385224510377,0.257043654311081,0.618350206753527,-5.81303567427738
"19","17211867","Zap70","22637","zeta-chain (TCR) associated protein kinase",0.255121505537079,2.75015709477082,1.09205500419434,0.297589109646578,0.657907540444843,-5.92388248597344
"20","17211990","Lipt1","623661","lipoyltransferase 1",-0.240258799212929,5.84482574712625,-1.2365049714809,0.241403385058527,0.598565661328276,-5.7643237539005
"21","17212018","Eif5b","226982","eukaryotic translation initiation factor 5B",-0.0612411301885807,6.16688809896978,-0.410664525383868,0.689013208405024,0.89859555508697,-6.43817205938532
"22","17212087","Npas2","18143","neuronal PAS domain protein 2",0.00149726118462601,4.33277556010315,0.00688696334078224,0.994625361223908,0.997662425824027,-6.52734174564304
"23","17212174","Il1r2","16178","interleukin 1 receptor, type II",-0.0657813778382947,3.56702957848417,-0.191245004676092,0.851733286263821,0.956728952814698,-6.50790790251566
"24","17212185","Il1r1","16177","interleukin 1 receptor, type I",-0.0252027721000792,6.86150618329913,-0.0723778093676158,0.943568954663392,0.982495375475081,-6.52457596359003
"25","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",0.216904232901798,5.21823996002505,0.941191434997785,0.366330661578504,0.716406520555156,-6.07327829883707
